AthleteId,ActivityId,SegmentId
33201149,4097343655,1279856
33201149,4138169199,10711261
33201149,4138169199,18021325
33201149,4381956513,7207741
33201149,4381956513,7220465
33201149,4138169199,18021332
33201149,4160400779,721319
33201149,4160400779,4413214
33201149,4410122952,12413457
33201149,4410122952,5510002
33201149,4410122952,5701289
33201149,4410122952,17965736
33201149,4410122952,744410
33201149,4410122952,10657889
33201149,4410122952,744412
33201149,4410122952,8057559
33201149,4410122952,16178905
33201149,4410122952,645512
33201149,4410122952,835262
33201149,4410122952,1758435
33201149,4410122952,833644
33201149,4410122952,21617458
33201149,4410122952,7701126
33201149,4410122952,18906385
33201149,4410122952,4795040
33201149,4410122952,2733752
33201149,4410122952,7668895
33201149,4410122952,19405831
33201149,4410122952,4413616
33201149,4410122952,1759310
33201149,4160400779,7194544
33201149,4160400779,18571988
33201149,4395146561,11035330
33201149,4395146561,16390288
33201149,4395146561,2577799
33201149,4390075883,1279835
33201149,4138169199,16423340
33201149,4382006430,16423334
33201149,4298634206,16423351
33201149,4298634206,1303199
33201149,4250988192,18021322
33201149,4231403776,1231201
33201149,4231403776,18195161
33201149,4231403776,15518076
33201149,4231403776,18045247
33201149,4231403776,9789271
33201149,4231403776,10750561
33201149,4231403776,9665735
33201149,4231403776,9154340
33201149,4231403776,15506915
33201149,4231403776,9519567
33201149,4231403776,7455413
33201149,4231403776,6893153
33201149,4231403776,6834665
33201149,4231403776,6893141
33201149,4231403776,9680276
33201149,4231403776,23553629
33201149,4213828889,3546424
33201149,4213828889,9831222
33201149,4213828889,20818707
33201149,4213828889,1115050
33201149,4213828889,12768144
33201149,4213828889,2516057
33201149,4213828889,16983640
33201149,4213828889,16983648
33201149,4213828889,16983652
4213828889,1342.440000,3608887
33201149,4213828889,7194565
33201149,4213828889,16476131
33201149,4213828889,825996
33201149,4213828889,2311411
33201149,4213828889,1898817
33201149,4213828889,16983656
33201149,4213828889,20378140
4213828889,2766.500000,12114985
33201149,4213828889,15444154
33201149,4213828889,989548
33201149,4213828889,989557
33201149,4213828889,4893977
33201149,4213828889,4893993
33201149,4213828889,989568
33201149,4213828889,7025157
4213828889,6037.300000,24832737
33201149,4213828889,986289
33201149,4213828889,989576
33201149,4213828889,19008945
33201149,4213828889,1898639
33201149,4203874440,24411198
33201149,4203874440,989580
33201149,4203874440,2360231
33201149,4213828889,20718197
33201149,4203874440,17849141
33201149,4203874440,15255868
33201149,4203874440,2324764
33201149,4203874440,24277164
33201149,4203874440,7339310
33201149,4213828889,16138081
33201149,4203874440,5793127
33201149,4213828889,5792661
33201149,4213828889,7561399
33201149,4213828889,13317934
33201149,4160400779,1115073
33201149,4203874440,3797288
33201149,4203874440,842614
33201149,4203874440,11411100
33201149,4203874440,24030732
33201149,4203874440,6975902
33201149,4203874440,5135798
33201149,4203874440,5409000
33201149,4203874440,2063103
33201149,4203874440,3904514
33201149,4203874440,8960746
33201149,4203874440,9744043
33201149,4165944075,10552722
33201149,4160400779,21570134
33201149,4160400779,15535559
33201149,4160400779,1561341
33201149,4160400779,3159517
33201149,4160400779,4978429
33201149,4160400779,4978572
33201149,4160400779,798116
33201149,4160400779,4979736
33201149,4160400779,5249361
33201149,4160400779,4377314
33201149,4160400779,4762843
33201149,4160400779,4894750
33201149,4160400779,5250113
33201149,4160400779,5250165
33201149,4160400779,5250274
33201149,4160400779,5238692
33201149,4160400779,11745012
33201149,4160400779,17983980
33201149,4160400779,1051305
33201149,4160400779,13563398
33201149,4160400779,8917242
33201149,4160400779,13237433
33201149,4160400779,1765271
33201149,4160400779,639985
33201149,4160400779,13237470
33201149,4160400779,15444252
33201149,4160400779,15444224
33201149,4160400779,6811125
33201149,4160400779,16373780
33201149,4160400779,16373786
33201149,4146415812,1395733
33201149,4146415812,1946827
33201149,4094882211,13384283
19818831,4208417269,16423340
19818831,4208417269,16423328
19818831,4208417269,10711261
19818831,4213808007,3546424
19818831,4434321633,24220338
19818831,4213808007,9831222
19818831,4213808007,20818707
19818831,4213808007,1115050
19818831,4213808007,12768144
19818831,4213808007,2516057
19818831,4213808007,16983640
19818831,4213808007,16983652
19818831,4213808007,16983648
4213808007,1342.440000,3608887
19818831,4213808007,7194565
19818831,4434321633,1553463
19818831,4434321633,20944224
19818831,4434321633,21457781
19818831,4434321633,1865181
19818831,4434321633,26145401
19818831,4434321633,14525044
19818831,4434321633,974890
19818831,4434321633,986318
19818831,4434321633,26538669
19818831,4434321633,986321
19818831,4434321633,1664344
19818831,4434321633,1647474
19818831,4434321633,4070642
19818831,4434321633,12619762
19818831,4434321633,16145388
19818831,4422184474,1279856
19818831,4213808007,721319
19818831,4213808007,4413214
19818831,4409994628,12413457
19818831,4409994628,5510002
19818831,4409994628,5701289
19818831,4409994628,17965736
19818831,4273774463,744410
19818831,4273774463,10657889
19818831,4273774463,744412
19818831,4273774463,8057559
19818831,4273774463,16178905
19818831,4409994628,645512
19818831,4409994628,835262
19818831,4409994628,1758435
19818831,4409994628,833644
19818831,4409994628,21617458
19818831,4409994628,7701126
19818831,4409994628,18906385
19818831,4409994628,4795040
19818831,4409994628,2733752
19818831,4409994628,7668895
19818831,4409994628,19405831
19818831,4404741885,18021322
19818831,4247375840,18021325
19818831,4394816980,11035330
19818831,4343758822,16390288
19818831,4394816980,16002298
19818831,4394816980,16240930
19818831,4394816980,2577799
19818831,4390249769,1279835
19818831,4390249769,7615747
19818831,4381953643,7207741
19818831,4381953643,7220465
19818831,4208417269,16423334
19818831,4333648942,18021332
19818831,4273774463,19523823
19818831,4273774463,3385292
19818831,4273774463,804645
19818831,4273774463,7702953
19818831,4273774463,3578501
19818831,4273774463,15160502
19818831,4273774463,901980
19818831,4273774463,3734836
19818831,4273774463,1667217
19818831,4273774463,6106191
19818831,4273774463,744407
19818831,4273774463,744405
19818831,4273774463,6129229
19818831,4273774463,6129248
19818831,4273774463,1600601
19818831,4273774463,19523814
19818831,4273774463,5404659
19818831,4273774463,9153785
19818831,4273774463,5509529
19818831,4203824718,7194544
19818831,4203824718,1115073
19818831,4203824718,842614
19818831,4203824718,11411100
19818831,4203824718,24030732
19818831,4251151168,3622795
19818831,4203824718,6975902
19818831,4203824718,5135798
19818831,4203824718,5409000
19818831,4251151168,13237433
19818831,4251151168,1765271
19818831,4251151168,639985
19818831,4251151168,13237470
19818831,4251151168,7695191
19818831,4251151168,19165696
