GearId,AthleteId,Brand
g5597443,33201149,Altra
g5301782,33201149,Altra
g5270088,33201149,Merrell
g5270097,33201149,Merrell
g5815552,3201149,Altra
g6576338,33201149,Altra
g6555063,33201149,Chaco
g3195986,19818831,Merrell
g2979527,19818831,Barefoot
g4746762,19818831,Brooks
g4701906,19818831,Altra
g6606594,19818831,Altra
g4052431,19818831,Brooks
g4443391,19818831,Nike
